nom,url_spotify,url_deezer,categorie,genre
MAVEL D,https://open.spotify.com/artist/7iR8JdQEwQR3LUiKXRbVh8,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lyan Paris,https://open.spotify.com/artist/3KmJs3ery3PJQuQQ5FOllC,https://www.deezer.com/artist/5792,Rap-HipHop-RnB,Rap-HipHop-RnB
Walk in Paris,https://open.spotify.com/artist/7iogfxoFBRb7fwoxDIFJoG,,Rap-HipHop-RnB,Rap-HipHop-RnB
Ici c'est Paris,https://open.spotify.com/artist/0XVAP17xehWKLmcb0DhtbZ,,Rap-HipHop-RnB,Rap-HipHop-RnB
Paris Nest,https://open.spotify.com/artist/7lN61JDIavIUmhrsYbPSMC,,Rap-HipHop-RnB,Rap-HipHop-RnB
Gabriel Paris,https://open.spotify.com/artist/5mC0vGi5lOCqYs53SOojs4,,Rap-HipHop-RnB,Rap-HipHop-RnB
Aymen Parisien,https://open.spotify.com/artist/0xOdtdbQkHKot7ODRxumLR,,Rap-HipHop-RnB,Rap-HipHop-RnB
Paris Richards,https://open.spotify.com/artist/2QKgfzDlgGJCv1hkfOovKH,,Rap-HipHop-RnB,Rap-HipHop-RnB
Cheb Aymen Parisien,https://open.spotify.com/artist/0F2vt3PHYGZ8pSFBHZ0laC,,Rap-HipHop-RnB,Rap-HipHop-RnB
Le Dernier Parisien,https://open.spotify.com/artist/2iQ9RuRrptwbGhkGFFyjH6,,Rap-HipHop-RnB,Rap-HipHop-RnB
WIXO & LA2S,https://open.spotify.com/artist/0VWHKHfSFwUhP0cuvVUfRN,,Rap-HipHop-RnB,Rap-HipHop-RnB
ZZ,https://open.spotify.com/artist/51loVlVgRomkJwd04A6B1e,,Rap-HipHop-RnB,Rap-HipHop-RnB
HMZ,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,,Rap-HipHop-RnB,Rap-HipHop-RnB
Jayel,https://open.spotify.com/artist/5kKxz4PDHgrpIt8LX3PPiF,,Rap-HipHop-RnB,Rap-HipHop-RnB
Cyclope l'Héritier,https://open.spotify.com/artist/0MKlq9NpviCizhTWbrC8KI,,Rap-HipHop-RnB,Rap-HipHop-RnB
LRB490,https://open.spotify.com/artist/2UrTsnAc4CSukV44RC6PT6,,Rap-HipHop-RnB,Rap-HipHop-RnB
La Plaie,https://open.spotify.com/artist/2ktXCualVDXC8h7jNOuyoQ,,Rap-HipHop-RnB,Rap-HipHop-RnB
