nom,source,score,followers,fans,spotify_id,deezer_id
Paris Saint Germain FanChants,Spotify,,,,71EGGFm5wS2EwANKiWpKRE,
Bombes 2 Bal,Spotify,,,,41L28S3l8z3EZMledHcxHV,
Souli,Spotify,,,,6j2mAzLfu9ZMjd4rwCRjjn,
The S,Spotify,,,,2ublgvX7DlTU8ShDDslYVC,
rz92i,Spotify,,,,77pl5wtTOGwF5FPUYUDEDz,
Lyan Paris,Spotify,,,,3KmJs3ery3PJQuQQ5FOllC,
Carmen Maria Vega,Spotify,,,,4BeUJGT638jeAuAvtm51oE,
Annie Lalalove,Spotify,,,,0rXEHQAzDXBvblE2EZRBjL,
Mikeysem,Spotify,,,,5Yz9TYi94Uup3otqHYUF5T,
Schlaasss,Spotify,,,,7znBntfGatVV9Elt7uP8Bu,
Jessica Marquez,Spotify,,,,3LTvQLZWuf9n2fOOq5dpG0,
Felipe,Spotify,,,,1jEvmmt62aPniaH6j7py8S,
Une touche d'optimisme,Spotify,,,,4sG5GeG7qK060XBll1R5ap,
Aymen Parisien,Spotify,,,,0xOdtdbQkHKot7ODRxumLR,
OPINEL 21,Spotify,,,,5x6fEO7JyQd948Wvonm9xt,
Power Struggle,Spotify,,,,0LU6Sg6kRXbyjhzrw4xzxe,
Pass Pass,Spotify,,,,7mTxA28IfHWWIuo2QKczgA,
Secri IXV,Spotify,,,,0ddCzcAD0Echtycm6WsVcE,
Davo 92,Spotify,,,,1aC2EaDuaqmdG8HGLbjMf2,
Moderne,Spotify,,,,403x0fTWTfDHsV9PYkGFTe,
92FLOWERS,Spotify,,,,7Bwfit5Kgbtxwu5dnf2cVF,
Sisik,Deezer,,,,,8125697
Styleto,Deezer,,,,,170886747
Rose,Deezer,,,,,12131
AM La Scampia,Deezer,,,,,14633713
Maxence,Deezer,,,,,12086854
Darius,Deezer,,,,,12049
Maze,Deezer,,,,,2398
Hervé,Deezer,,,,,13698817
Chicaille Argenté,Deezer,,,,,72417252
Foufa Torino,Deezer,,,,,72597562
Youka,Deezer,,,,,71363652
Sam's,Deezer,,,,,309680
Kafon,Deezer,,,,,8557848
Waxx,Deezer,,,,,12564376
Parabellum,Deezer,,,,,7639
S-Pion,Deezer,,,,,12796111
Marie-Flore,Deezer,,,,,343829
Frànçois & The Atlas Mountains,Deezer,,,,,989667
Flora Fishbach,Deezer,,,,,8852364
GAULOIS,Deezer,,,,,5376408
Didou Parisien,Deezer,,,,,9026872
No Limit,Deezer,,,,,136645872
Adrian von Ziegler,Deezer,,,,,5098098
Stéphane,Deezer,,,,,128266712
La Phaze,Deezer,,,,,1607
Kennedy,Deezer,,,,,67727
Philip,Deezer,,,,,96659
Disco Lines,Deezer,,,,,65148802
Le Bal des Enragés,Deezer,,,,,504646
Shlømo,Deezer,,,,,1669858
Ева Польна,Deezer,,,,,4153477
Terrenoire,Deezer,,,,,14310515
Robi,Deezer,,,,,1446067
Moka Boka,Deezer,,,,,11701147
BLOWSOM,Deezer,,,,,10267432
Richard Grey,Deezer,,,,,81160
Diego Pallavas,Deezer,,,,,256226
Anwar,Deezer,,,,,11066168
Saint DX,Deezer,,,,,13641021
Mathieu Des Longchamps,Deezer,,,,,14131735
Sans Lactose,Deezer,,,,,62082502
22 Longs Riffs,Deezer,,,,,13311795
Walls,Deezer,,,,,56464392
Adamé,Deezer,,,,,99225682
Zubi,Deezer,,,,,6901971
Kedym,Deezer,,,,,11831069
Alexia Gredy,Deezer,,,,,4456602
Balbino Medellin,Deezer,,,,,74698
Annie Lalalove,Deezer,,,,,136951462
Bolivard,Deezer,,,,,1711511
Grandmaster Flash & The Furious Five,Deezer,,,,,8582
Cid,Deezer,,,,,3267911
Walter Astral,Deezer,,,,,151908072
V13,Deezer,,,,,340296
Wolkenfrei,Deezer,,,,,4995016
REYKO,Deezer,,,,,6066874
Hifi,Deezer,,,,,13486
JR O Crom,Deezer,,,,,4683064
Searows,Deezer,,,,,158683422
Meimuna,Deezer,,,,,14329801
Bouga,Deezer,,,,,71238
Lancelot,Deezer,,,,,175066527
Labess,Deezer,,,,,4018754
Spooks,Deezer,,,,,551
Gorillaz featuring De La Soul,Deezer,,,,,5285689
Albany,Deezer,,,,,391466
Sault,Deezer,,,,,5438687
Tout Simplement Noir,Deezer,,,,,72209
Dina Ayada,Deezer,,,,,9483070
MaMaMa,Deezer,,,,,5927653
Luar,Deezer,,,,,557542
Ralphie Choo,Deezer,,,,,79131832
Squadra,Deezer,,,,,1400835
Harley,Deezer,,,,,122001252
Lilian Barbe,Deezer,,,,,154864891
ILIONA,Deezer,,,,,91132672
Sako (Chiens de Paille),Deezer,,,,,5280541
Cheik Abderrahmane Soudaiss,Deezer,,,,,341448
Noé Preszow,Deezer,,,,,13636759
Alex Mills,Deezer,,,,,260417
2zer,Deezer,,,,,4856051
HEDIA,Deezer,,,,,6607334
Dimitri Rougeul,Deezer,,,,,4822547
KCIDY,Deezer,,,,,7294142
Index,Deezer,,,,,285927
Polocorp,Deezer,,,,,1702852
MBS,Deezer,,,,,149011
DO not DO,Deezer,,,,,160336492
Huko,Deezer,,,,,10098026
Nerlov,Deezer,,,,,11539775
Réciprok,Deezer,,,,,129700
