id_unique,nom,source,fans,genre,image_url,url_deezer,date_collecte
Romare_deezer,Romare,Deezer,19931,Non spécifié,https://cdn-images.dzcdn.net/images/artist/185992d1aa3ca003a901f29053089ab3/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/2938511,2026-01-27 08:21:55
Le 3ème Œil_deezer,Le 3ème Œil,Deezer,19968,Non spécifié,https://cdn-images.dzcdn.net/images/artist/ce253a4daa7f12032321f87fd922cdf3/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/2251,2026-01-27 08:21:56
Ouss & Riane_deezer,Ouss & Riane,Deezer,9693,Non spécifié,https://cdn-images.dzcdn.net/images/artist/1b6957ed0a2e15f78d6316b5483701ed/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/408682,2026-01-27 08:21:56
Tchiggy_deezer,Tchiggy,Deezer,9666,Non spécifié,https://cdn-images.dzcdn.net/images/artist/bcd6ddef2bf3229e3210a86b69cbf34d/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/13719509,2026-01-27 08:21:56
Léa Paci_deezer,Léa Paci,Deezer,19784,Non spécifié,https://cdn-images.dzcdn.net/images/artist/7b0ba0e0b3daf25d70b72018c5b7269f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/11273910,2026-01-27 08:21:57
Tony Ann_deezer,Tony Ann,Deezer,19828,Non spécifié,https://cdn-images.dzcdn.net/images/artist/f97c7bcb5bc1f91577833c34d08581a7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/13942111,2026-01-27 08:21:57
Srno_deezer,Srno,Deezer,19605,Non spécifié,https://cdn-images.dzcdn.net/images/artist/8c05736b543e91c21ed2b08a492d4bcb/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/9958710,2026-01-27 08:21:57
Snooky Pryor_deezer,Snooky Pryor,Deezer,9318,Non spécifié,https://cdn-images.dzcdn.net/images/artist/190490f354344b2b50974ecb09b601a2/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/273905,2026-01-27 08:21:58
Nakk Mendosa_deezer,Nakk Mendosa,Deezer,19105,Non spécifié,https://cdn-images.dzcdn.net/images/artist/13e29651c9f0d8e8d7625ee44bb5b0f2/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/205298,2026-01-27 08:21:58
Jalal El Hamdaoui_deezer,Jalal El Hamdaoui,Deezer,9026,Non spécifié,https://cdn-images.dzcdn.net/images/artist/f864399be6f8c1a958138e0f6e915d1f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/124952,2026-01-27 08:21:59
