nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
Geule Blansh,3488,21,17.0,4.0,41.8,2025-01-10,"french rap, rap chrétien",https://open.spotify.com/artist/0A3FgRdaKcnH02RA6W9eVl,2025-12-17 11:38:33
Tekilla,3218,22,11.2,10.8,40.93,2024-06-28,french rap,https://open.spotify.com/artist/00ocX3UjWMv4002eP0tRjy,2025-12-17 11:37:58
Mekza,2132,22,20.8,1.2,40.61,2025-08-01,"shatta, zouk",https://open.spotify.com/artist/1OUG74Rrb5XI1o4SXhOjoT,2025-12-17 11:35:36
GrandBazaar,2742,26,19.5,6.5,40.25,2024-04-19,french rap,https://open.spotify.com/artist/5Gy06Dx6rmDAfR6gA7Kkqw,2025-12-17 11:34:07
Clyy,3666,24,17.9,6.1,40.1,2024-01-05,french rap,https://open.spotify.com/artist/0kH3jtZgw5OY5ueHtEMDXn,2025-12-17 11:32:26
Dab Rozer,2117,25,21.6,3.4,38.87,2024-04-26,Non spécifié,https://open.spotify.com/artist/33Mlo4xMrJsseOIv75xdfl,2025-12-17 11:34:35
Nina Rossell,1018,23,18.3,4.7,38.42,2024-05-22,"french r&b, french pop, pop urbaine",https://open.spotify.com/artist/76GOZCc1Fa0aXqh4edNsuw,2025-12-17 11:32:28
Verso,2910,20,16.3,3.7,38.27,2024-02-23,french rap,https://open.spotify.com/artist/2wadI8Occyuywvkq9rbbn7,2025-12-17 11:34:42
Noah Naas,2683,21,18.3,2.7,38.08,2024-04-05,"french r&b, french indie pop",https://open.spotify.com/artist/72yg6tWrGwoPqpiUD25BK7,2025-12-17 11:34:19
Arne Vinzon,4180,18,12.4,5.6,22.95,2025-04-04,"french pop, french indie pop",https://open.spotify.com/artist/5TfXvHN60lOLjarRZgqI1l,2025-12-17 11:39:25
KLON,4583,18,13.5,4.5,22.78,2025-10-10,"french indie pop, french pop",https://open.spotify.com/artist/5wpi76n2HLEBtDpiEdUwss,2025-12-17 11:39:24
BES,1560,19,15.2,3.8,21.9,2025-10-30,french rap,https://open.spotify.com/artist/5BFRb5VWKyqKdUkJgnJ0YJ,2025-12-17 11:37:48
HappyMoli,2632,19,16.7,2.3,21.88,2025-02-21,"french rap, new wave",https://open.spotify.com/artist/0qxhe70BuACveHoPInKFUh,2025-12-17 11:37:47
PHLP,1564,15,8.5,6.5,20.58,2025-06-11,Non spécifié,https://open.spotify.com/artist/14UW64obRS8GNXHzbRK9DL,2025-12-17 11:34:24
Sage Pee,3224,15,10.9,4.1,20.52,2025-01-24,"french r&b, french rap",https://open.spotify.com/artist/6hkah6kDDj8tNuV4OJYvGG,2025-12-17 11:34:34
Clovis Ochin,2500,15,10.2,4.8,20.44,2025-02-28,Non spécifié,https://open.spotify.com/artist/6bCKPo3TiIqFnVunMuciON,2025-12-17 11:34:03
Viinz,1958,15,10.6,4.4,20.1,2025-10-31,Non spécifié,https://open.spotify.com/artist/4lOnbOMTyOsX1f5TW15NQC,2025-12-17 11:39:07
DOR,1025,13,7.2,5.8,19.08,2025-12-10,french r&b,https://open.spotify.com/artist/52Hrzon3qNznt7pSQcaN3C,2025-12-17 11:34:49
Mc Duc,2287,12,8.2,3.8,18.45,2025-11-29,"dancehall, ragga",https://open.spotify.com/artist/4CTFYAFIFrg7cod7arAuHN,2025-12-17 11:35:20
VA,2171,12,10.1,1.9,17.84,2025-09-21,"hardstyle, hardcore, gabber",https://open.spotify.com/artist/5O9uIefTbAXCbSfXH6mSEQ,2025-12-17 11:37:58
Acifiq,1216,12,9.8,2.2,17.55,2025-03-14,french rap,https://open.spotify.com/artist/675lT6ff6XeQK9Uq9K0JWp,2025-12-17 11:34:31
AnNie .Adaa,3259,13,7.0,6.0,17.04,2024-04-18,french rap,https://open.spotify.com/artist/770zWRZo3LRUWe4IgAyfEl,2025-12-17 11:35:08
Sophieanne,2710,11,11.11,-0.11,16.97,2025-07-18,french rap,https://open.spotify.com/artist/4xZQd2qkqAiqpFwOfaxGHw,2025-12-17 11:34:27
D-Track,2266,14,9.8,4.2,16.63,2024-06-07,"rap québécois, pop québécoise",https://open.spotify.com/artist/6iCGxocdnrQ3pxNN1drzNu,2025-12-17 11:35:00
Chien Bleu,1879,14,10.6,3.4,16.24,2024-12-06,french indie pop,https://open.spotify.com/artist/21UIXPSaKR74RQ5TjuYpPI,2025-12-17 11:34:32
SKRIZ,1708,13,9.8,3.2,15.58,2024-09-20,french rap,https://open.spotify.com/artist/59OVD8Vap8QSm5daZ0uw0d,2025-12-17 11:35:04
Pbl,1516,13,10.0,3.0,15.44,2024-05-15,french r&b,https://open.spotify.com/artist/2ErtP3QGjQ4j7qQk3ORl3j,2025-12-17 11:35:01
LMA,1527,12,8.4,3.6,15.09,2024-09-20,"nu disco, french house",https://open.spotify.com/artist/5TkDGv15Vfe7X91xleonsi,2025-12-17 11:39:13
